muestra_id,acidez fija,acidez volatil,acido citrico,azucar residual,cloruros,dioxido de azufre libre,dioxido de azufre total,densidad,pH,sulfatos,alcohol,color,year,calidad
0,9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73,11.8,tinto,2021,7
1,6.6,0.24,0.28,1.8,0.028,39.0,132.0,0.99182,3.34,0.46,11.4,blanco,2021,5
2,9.4,0.59,0.14,2.0,0.084,25.0,48.0,0.9981,3.14,0.56,9.7,tinto,2019,5
3,6.1,0.32,0.33,10.7,0.036,27.0,98.0,0.99521,3.34,0.52,10.2,blanco,2021,6
4,7.0,0.36,0.35,2.5,0.048,67.0,161.0,0.99146,3.05,0.56,11.1,blanco,2023,6
5,7.5,0.21,0.68,10.9,0.045,38.0,133.0,0.9978,3.0,0.36,8.7,blanco,2022,5
6,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.99896,3.1,0.45,8.9,blanco,2021,6
7,6.8,0.22,0.29,8.9,0.046,82.0,188.0,0.9955,3.3,0.44,10.3,blanco,2023,6
8,8.3,0.27,0.39,2.4,0.058,16.0,107.0,0.9955,3.28,0.59,10.3,blanco,2020,5
9,6.4,0.22,0.38,9.1,0.044,35.0,127.0,0.99326,2.97,0.3,11.0,blanco,2023,7
10,7.7,0.26,0.32,1.2,0.04,26.0,117.0,0.993,3.21,0.56,10.8,blanco,2023,5
11,7.6,0.29,0.29,4.4,0.051,26.0,146.0,0.9939,3.16,0.39,10.2,blanco,2020,5
12,6.2,0.25,0.38,7.9,0.045,54.0,208.0,0.99572,3.17,0.46,9.1,blanco,2022,5
13,7.6,0.3,0.22,10.2,0.049,57.0,191.0,0.9966,3.08,0.4,9.3,blanco,2020,6
14,7.2,0.37,0.4,11.6,0.032,34.0,214.0,0.9963,3.1,0.51,9.8,blanco,2022,6
15,6.7,0.35,0.32,9.0,0.032,29.0,113.0,0.99188,3.13,0.65,12.9,blanco,2023,7
16,6.2,0.22,0.3,12.4,0.054,108.0,152.0,0.99728,3.1,0.47,9.5,blanco,2022,6
17,8.6,0.55,0.35,15.55,0.057,35.5,366.5,10.001,3.04,0.63,11.0,blanco,2023,3
18,7.8,0.31,0.4,1.6,0.027,20.0,87.0,0.9911,3.15,0.48,11.9,blanco,2023,6
19,6.5,0.21,0.4,7.3,0.041,49.0,115.0,0.99268,3.21,0.43,11.0,blanco,2021,6
20,5.8,0.23,0.27,1.8,0.043,24.0,69.0,0.9933,3.38,0.31,9.4,blanco,2022,6
21,6.5,0.13,0.27,2.6,0.035,32.0,76.0,0.9914,3.21,0.76,113.333.333.333.333,blanco,2020,6
